,date,symbol,volume,start,stop,initial_imb,paired_imb,direction,open_price,spread_at_open,close_price,moc_close_price,close_status,spread_at_close,max_pnl_time,max_pnl_price,min_pnl_time,min_pnl_price,position_size,reverse_count,imbBeforeReversePct,imbAfterReversePct,deltaImbPct,delta_move,delta_move_pct,position_pnl
24,2020-11-20,CCI,1742541,2020-11-20 15:55:00,2020-11-20 15:56:00,-42099,142169,Long,167.18,0.060000000000002274,167.19,,market,0.05000000000001137,2020-11-20 15:55:56.305706,167.19,2020-11-20 15:55:06.216192,167.05,100.0,1,-2.4159546317705005,0.6185794193651685,3.034534051135669,0.009999999999990905,0.00598157674362418,0.9999999999990905
25,2020-11-20,CDE,3738067,2020-11-20 15:57:12,2020-11-20 15:58:12,-4090,316008,Long,7.61,0.010000000000000675,7.61,,market,0.009999999999999787,2020-11-20 15:57:25.009311,7.61,2020-11-20 15:57:12.250584,7.6,6570.302233902759,5,-0.10941483927388139,2.84933362617631,2.958748465450191,0.0,0.0,0.0
26,2020-11-20,CF,2739072,2020-11-20 15:59:06,2020-11-20 16:00:00,15278,213753,Short,33.53,0.00999999999999801,33.52,33.5,moc,0.0,2020-11-20 15:59:17.072355,33.5,2020-11-20 15:59:07.232643,33.54,1491.201908738443,3,0.5577801532781905,-0.49440102341230896,-1.0521811766904996,0.030000000000001137,0.08947211452430998,44.736057262154986
27,2020-11-20,CHGG,2245816,2020-11-20 15:55:00,2020-11-20 15:56:00,-30713,67640,Long,71.13,0.04999999999999716,71.16,,market,0.0799999999999983,2020-11-20 15:55:17.736372,71.17,2020-11-20 15:55:05.057374,71.06,702.9382820188388,1,-1.3675652858471041,0.004185561061102067,1.3717508469082063,0.030000000000001137,0.04217629692113192,21.08814846056596
28,2020-11-20,CIEN,1719793,2020-11-20 15:55:00,2020-11-20 15:56:00,27976,144347,Short,42.18,0.020000000000003126,42.16,,market,0.00999999999999801,2020-11-20 15:55:39.634041,42.16,2020-11-20 15:55:00.123401,42.21,592.0,1,1.6267074002510766,-0.09280186627111518,-1.7195092665221918,0.020000000000003126,0.04741583688952851,11.84000000000185
29,2020-11-20,CIM,2570362,2020-11-20 15:55:00,2020-11-20 15:56:00,35923,133663,Short,9.98,0.009999999999999787,9.99,,market,0.009999999999999787,2020-11-20 15:55:01.037597,9.99,2020-11-20 15:55:01.037597,9.99,5010.0200400801605,1,1.3975852428568427,-0.07718757124482854,-1.4747728141016712,-0.009999999999999787,-0.10020040080160107,-50.10020040080054
30,2020-11-20,CL,3828629,2020-11-20 15:59:19,2020-11-20 16:00:00,-95637,475803,Long,85.19,0.01999999999999602,85.14,85.16,moc,0.0,2020-11-20 15:59:26.960913,85.22,2020-11-20 15:59:48.088604,85.13,353.0,24,-2.4979437809200107,0.10972596195661685,2.6076697428766273,-0.030000000000001137,-0.03521540086864789,-10.590000000000401
31,2020-11-20,CLNY,6089053,2020-11-20 15:58:37,2020-11-20 15:59:37,-17952,219559,Long,4.31,0.009999999999999787,4.3,,market,0.009999999999999787,2020-11-20 15:58:38.006964,4.3,2020-11-20 15:58:38.006964,4.3,11600.928074245941,5,-0.2948241705237251,1.1044081895821896,1.3992323601059147,-0.009999999999999787,-0.23201856148491387,-116.00928074245694
32,2020-11-20,CMS,1555912,2020-11-20 15:59:16,2020-11-20 16:00:00,-59371,453949,Long,61.22,0.030000000000001137,61.2,61.25,moc,0.0,2020-11-20 15:59:32.646018,61.3,2020-11-20 15:59:16.397348,61.19,332.0,1,-3.81583277203338,0.10855369712425895,3.9243864691576387,0.030000000000001137,0.04900359359686563,9.960000000000377
33,2020-11-20,CNX,4628633,2020-11-20 15:55:00,2020-11-20 15:56:00,136050,220709,Short,9.34,0.009999999999999787,9.35,,market,0.009999999999999787,2020-11-20 15:55:01.047156,9.35,2020-11-20 15:55:01.047156,9.35,2202.0,1,2.9393127517346915,-0.08974571974057999,-3.0290584714752713,-0.009999999999999787,-0.10706638115631463,-22.01999999999953
34,2020-11-20,COF,3285387,2020-11-20 15:56:49,2020-11-20 15:57:49,6072,213380,Short,83.69,0.04000000000000625,83.47,,market,0.04999999999999716,2020-11-20 15:57:48.757747,83.44,2020-11-20 15:56:49.236516,83.73,597.4429441988291,1,0.18481840952070486,-0.9048553488523574,-1.0896737583730622,0.21999999999999886,0.26287489544748344,131.4374477237417
35,2020-11-20,CPRI,3965670,2020-11-20 15:55:00,2020-11-20 15:56:00,48481,153259,Short,34.65,0.00999999999999801,34.66,,market,0.00999999999999801,2020-11-20 15:55:01.045459,34.66,2020-11-20 15:55:01.045459,34.66,990.0,1,1.222517254335333,-0.2248043836224396,-1.4473216379577727,-0.00999999999999801,-0.028860028860023118,-9.89999999999803
36,2020-11-20,CRM,4974958,2020-11-20 15:59:50,2020-11-20 16:00:00,7017,721680,Short,257.94,0.18999999999999773,258.16,258.04,moc,0.0,2020-11-20 15:59:51.256553,257.93,2020-11-20 15:59:58.348696,258.18,193.8435295029852,2,0.1410464168742731,-1.390745409307978,-1.5317918261822512,-0.10000000000002274,-0.038768705900605854,-19.38435295030293
37,2020-11-20,D,3608955,2020-11-20 15:55:00,2020-11-20 15:56:00,65540,489414,Short,78.56,0.03999999999999204,78.61,,market,0.010000000000005116,2020-11-20 15:55:05.118910,78.57,2020-11-20 15:55:00.589563,78.63,100.0,1,1.8160381606309859,-0.5169640519208469,-2.3330022125518326,-0.04999999999999716,-0.0636456211812591,-4.999999999999716
